indicator_id,target_id,indicator_name,definition,method,unit,direction,baseline_year,baseline_value,target_year,target_value,long_year,long_value,target_label,long_label,kind,source_page,source,source_url,update_cycle,custodian,status_override,is_headline,display,note,order
12-5-1,12-5,생활폐기물의 재활용률,,,%,up,2018,62,2030,68,2040,75,68.0%,75.0%,정량,215,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.215,49
12-5-2,12-5,사업장배출시설계폐기물 재활용 비율,,,%,up,2018,81.6,2030,85,2040,90,85.0%,90.0%,정량,215,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.215,50
12-6-1,12-6,지속가능경영보고서 발간 기업 수,,,개,up,2017,108,2030,200,2040,400,200개,400개,정량,217,제4차 지속가능발전 기본계획,,,산업통상자원부·중소벤처기업부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.217,51
12-6-2,12-6,녹색경영 참여 기업수,,,개,up,2017,160,2030,300,2040,1000,300개,"1,000개",정량,217,제4차 지속가능발전 기본계획,,,산업통상자원부·중소벤처기업부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.217,52
12-7-1,12-7,공공분야(지방자치단체) 녹색제품 구매율,,,%,up,2019,54.4,2030,70,2040,75,70.0%,75.0%,정량,219,제4차 지속가능발전 기본계획,,,환경부·행정안전부·기획재정부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.219,53
12-7-2,12-7,생활용품의 녹색제품 인증 건수,,,건,up,2017,59,2030,100,2040,100,100건,100건,정량,219,제4차 지속가능발전 기본계획,,,환경부·행정안전부·기획재정부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.219,54
12-8-1,12-8,인구대비 환경교육 수혜자 비율,,,%,up,2019,19.2,2030,35,2040,50,35.0%,50.0%,정량,223,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.223,55
12-8-2,12-8,일반 국민의 환경의식 수준,,,점,up,2018,55.4,2030,65,2040,75,65점,75점,정량,223,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.223,56
12-9-1,12-9,1인당 플라스틱 소비량,,,kg/인/년,down,2018,122,2030,110,2040,98,110kg/인/년,98kg/인/년,정량,225,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.225,57
12-9-2,12-9,플라스틱 폐기물의 재활용률,,,%,up,2017,58.9,2030,70,2040,100,70.0%,100.0%,정량,225,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.225,58
13-1-1,13-1,방재시설 집행 비율,,,%,up,2019,95.32,2030,97,2040,98.5,97.0%,98.5%,정량,263,제4차 지속가능발전 기본계획,,,환경부·행정안전부·해양수산부·기상청·농촌진흥청,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.263,59
13-2-1,13-2,기후변화대응 기본계획 수립 지자체 비율,현 수치 산출 필요,,,up,,,2030,,2040,,지속 증가,지속 증가,정성,265,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.265 · 현 수치 산출 필요,60
13-2-2,13-2,기후･에너지 전담기관 설치 지자체 비율,현 수치 산출 필요,,%,up,,,2030,50,2040,100,50.0%,100.0%,정량,265,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.265 · 현 수치 산출 필요,61
13-2-3,13-2,적응대책 이행 모니터링 파트너십 운영 지자체 비율,현 수치 산출 필요 · 목표치 설정 불가 (통계 미구축),,,up,,,,,,,,,통계미구축,265,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.265 · 현 수치 산출 필요 · 목표치 설정 불가 (통계 미구축),62
13-3-1,13-3,공공기관 적응대책 수립･이행 비율,,,%,up,2019,10.03,2030,100,2040,100,100%,100% 유지,정량,267,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.267,63
13-3-2,13-3,기후변화 교육 의무화 학교 비율,현재 통계치 활용하여 산출 필요,,%,up,,,2030,100,2040,100,100%,100% 유지,정량,267,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.267 · 현재 통계치 활용하여 산출 필요,64
13-4-1,13-4,국가 온실가스 배출량,,,MtCO2eg.,down,2017,709.1,2030,,2040,,2017년 대비 24.4% 감축,2017년 대비 33.6% 감축,정성,268,제4차 지속가능발전 기본계획,,,,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.268,65
14-1-1,14-1,"수질평가 지수값(WQI, Water Quality Index)을 이용한 생태기반 해역별 해수수질 기준 달성률",,,%,up,2019,81,2030,90,2040,,90.0%,지속 확대,정량,276,제4차 지속가능발전 기본계획,,,해양수산부·환경부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.276,66
14-1-2,14-1,해양쓰레기 수거량,,,만톤,up,2019,11,2030,,2040,,지속 증가,지속 증가,정성,276,제4차 지속가능발전 기본계획,,,해양수산부·환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.276,67
14-2-1,14-2,갯벌복원면적,,,㎢,up,2016,2.04,2030,10,2040,,10㎢,지속 확대,정량,278,제4차 지속가능발전 기본계획,,,해양수산부·환경부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.278,68
14-2-2,14-2,바다숲 조성 누적면적,"21,490ha",,ha,up,,,2030,54000,2040,,"54,000ha",지속 확대,정량,278,제4차 지속가능발전 기본계획,,,해양수산부·환경부,,FALSE,TRUE,"제4차 지속가능발전 기본계획 p.278 · 21,490ha",69
14-3-1,14-3,외해 평균 pH 농도 적정 범위(8.0〜8.2) 유지,,,pH,up,2017,8.1,2030,8.1,2040,8.1,8.1pH,8.1pH,정량,280,제4차 지속가능발전 기본계획,,,해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.280,70
14-4-1,14-4,총허용어획량(TAC) 할당 비율 확대,,,%,up,2020,29,2030,80,2040,,80.0%,지속 확대,정량,283,제4차 지속가능발전 기본계획,,,해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.283,71
14-5-1,14-5,해양보호구역 지정 면적,,,㎢,down,2020,7979,2030,4300,2040,,"4,300㎢",지속확대,정량,285,제4차 지속가능발전 기본계획,,,해양수산부·환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.285,72
14-6-1,14-6,도시근로자 가구소득 대비 어가소득,,,%,up,2020,72.6,2030,80,2040,,80.0%,지속 확대,정량,288,제4차 지속가능발전 기본계획,,,,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.288,73
14-7-1,14-7,정부연구개발예산 대비 해양 수산 연구개발 투자비중,,,%,up,2020,2.86,2030,4,2040,5,4.0%,5.0%,정량,290,제4차 지속가능발전 기본계획,,,해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.290,74
14-7-2,14-7,국내 해양수산과학 기술이전 건수,,,건,up,2019,100,2030,150,2040,200,150건,200건,정량,290,제4차 지속가능발전 기본계획,,,해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.290,75
14-7-3,14-7,정부의 ODA 중 해양수산 분야 무상원조 규모,,,억원,up,2020,158.2,2030,300,2040,,300억 원,지속확대,정량,290,제4차 지속가능발전 기본계획,,,해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.290,76
14-8-1,14-8,국내 3톤 이상 4톤 미만 어선의 어선원 보험 가입률,,,%,up,,,2030,60,2040,,60.0%,지속 확대,정량,292,제4차 지속가능발전 기본계획,,,해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.292,77
14-9-1,14-9,관련 협약 국내적 수용을 위한 국내 입법 진행율,최초 산출 필요,,%,up,,,2030,100,2040,100,100.0%,100.0%,정량,294,제4차 지속가능발전 기본계획,,,,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.294 · 최초 산출 필요,78
15-1-1,15-1,육상 및 담수 생물다양성을 위해 보호구역으로 지정된 지역의 비율,,,%,up,2020,16.6,2030,17,2040,,17.0%,안정적 유지,정량,305,제4차 지속가능발전 기본계획,,,환경부·산림청,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.305,79
15-1-2,15-1,총 육지면적 중 산림면적 비율,,,%,up,2015,63.7,2030,,2040,,지속 확대,지속 확대,정성,305,제4차 지속가능발전 기본계획,,,환경부·산림청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.305,80
15-2-1,15-2,국가 산림경영 지표 확장,,,%,down,2014,66.67,2030,54,2040,,54개,안정적 관리,정량,307,제4차 지속가능발전 기본계획,,,산림청,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.307,81
15-3-1,15-3,총 토지면적 중 황폐화된 토지 비율,최초 산출 필요,,,down,,,2030,,2040,,지속 감소,지속 감소,정성,308,제4차 지속가능발전 기본계획,,,환경부·국토교통부·산림청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.308 · 최초 산출 필요,82
15-4-1,15-4,멸종위기에 처한 동식물,,,종,up,2019,320,2030,400,2040,500,400종 지정,500종 지정,정량,313,제4차 지속가능발전 기본계획,,,환경부·산림청·문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.313,83
15-4-2,15-4,주요 멸종위기종 복원율,,,,up,,,2030,,,,지속 증가,,정성,313,제4차 지속가능발전 기본계획,,,환경부·산림청·문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.313,84
15-4-3,15-4,산악지역녹색피복지수,,,%,down,2018,99.86,2030,99,2040,99,99% 유지,99% 유지,정량,313,제4차 지속가능발전 기본계획,,,환경부·산림청·문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.313,85
15-4-4,15-4,종보호지수,,,%,up,2020,90.12,2030,95,2040,100,95.0%,100.0%,정량,313,제4차 지속가능발전 기본계획,,,환경부·산림청·문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.313,86
15-4-5,15-4,전국 야생동물 통합 모니터링 시스템 구축에 필요한 스테 이션의 수(1000) 대비 설치 및 운영되고 있는 스테이션의 비율,,,%,up,2020,0,2030,100,2040,100,100%,100% 유지,정량,313,제4차 지속가능발전 기본계획,,,환경부·산림청·문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.313,87
15-5-1,15-5,야생동물 밀렵밀거래 단속실적,,,,up,2018,4719,2030,,2040,,지속 확대,지속 확대,정성,319,제4차 지속가능발전 기본계획,,,환경부·기획재정부·문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.319,88
15-5-2,15-5,관리제도가 필요한 야생동물･ 가축･인간 사이 고위험 접촉점 대비 관리제도가 확립된 접촉점 수의 비율,,,%,up,2020,0,2030,,2040,100,지속 확대,100%,정량,319,제4차 지속가능발전 기본계획,,,환경부·기획재정부·문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.319,89
15-6-1,15-6,외래생물 관리 대상종수,,,종,up,2018,330,2030,900,2040,1500,900종,"1,500종",정량,321,제4차 지속가능발전 기본계획,,,환경부·농림축산식품부·산림청·농촌진흥청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.321,90
15-6-2,15-6,산림병해충에 의한 연간 산림피해 면적,,,ha,down,2020,81791,2030,10000,2040,,"10,000 ha",지속 감소,정량,321,제4차 지속가능발전 기본계획,,,환경부·농림축산식품부·산림청·농촌진흥청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.321,91
15-7-1,15-7,백두대간 등 산림복원 면적,,,ha,up,2017,315,2030,1812,2040,3000,"1,812ha","3,000ha",정량,325,제4차 지속가능발전 기본계획,,,,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.325,92
15-7-2,15-7,도심/생활권 복원,,,ha,up,2022,379,2030,,2040,,지속 확대,지속 확대,정성,325,제4차 지속가능발전 기본계획,,,,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.325,93
16-1-1,16-1,"범죄율 (살인, 강도, 폭력, 성범죄)",,,만,down,2018,10,2030,,2040,,지속 감소,지속 감소,정성,338,제4차 지속가능발전 기본계획,,,경찰청·교육부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.338,94
16-1-2,16-1,학교폭력 피해 경험,,,천,down,2019,1,2030,,2040,,지속 감소,지속 감소,정성,338,제4차 지속가능발전 기본계획,,,경찰청·교육부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.338,95
