indicator_id,page_code,page_name,url,match,score,order
3-6-3,IDXN-1604,청소년 가출실태,https://www.index.go.kr/unify/idx-info.do?idxCd=1604,context,36,4
3-6-3,IDXN-2774,청소년 상담사/지도사 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2774,context,33,5
3-7-1,IDXN-4275,미세먼지(PM2.5)농도,https://www.index.go.kr/unify/idx-info.do?idxCd=4275,context,37,1
3-8-2,IDXN-1528,OECD 학업성취도(PISA) 순위,https://www.index.go.kr/unify/idx-info.do?idxCd=1528,context,34,1
4-1-1,IDXN-1551,고등교육기관 졸업자 취업률,https://www.index.go.kr/unify/idx-info.do?idxCd=1551,context,36,1
4-10-1,IDXN-1521,교원 1인당 학생 수,https://www.index.go.kr/unify/idx-info.do?idxCd=1521,exact,74,1
4-10-1,IDXN-1523,학생 1인당 공교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=1523,exact,60,2
4-10-1,IDXN-4243,학생 1인당 공교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=4243,exact,60,3
4-10-1,IDXN-4244,학생 1인당 사교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=4244,exact,60,4
4-10-1,IDXN-4257,1인당 주거면적,https://www.index.go.kr/unify/idx-info.do?idxCd=4257,near,43,5
4-2-3,IDXN-1584,어린이집 시설 종사자 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1584,context,38,1
4-2-3,IDXN-1583,어린이집 시설수 및 아동수 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1583,context,36,2
4-2-3,IDXN-1585,"장애아전문,통합 어린이집 현황",https://www.index.go.kr/unify/idx-info.do?idxCd=1585,context,33,3
4-3-1,IDXN-1548,고등교육 규모,https://www.index.go.kr/unify/idx-info.do?idxCd=1548,exact,67,1
4-3-2,IDXN-1521,교원 1인당 학생 수,https://www.index.go.kr/unify/idx-info.do?idxCd=1521,near,45,1
4-3-2,IDXN-1523,학생 1인당 공교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=1523,near,39,2
4-3-2,IDXN-4243,학생 1인당 공교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=4243,near,39,3
4-3-2,IDXN-4244,학생 1인당 사교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=4244,near,39,4
4-3-2,IDXN-4257,1인당 주거면적,https://www.index.go.kr/unify/idx-info.do?idxCd=4257,context,27,5
4-4-1,IDXN-1555,평생학습 참여율,https://www.index.go.kr/unify/idx-info.do?idxCd=1555,exact,100,1
4-4-3,IDXN-1597,청소년 인구 및 구성비,https://www.index.go.kr/unify/idx-info.do?idxCd=1597,context,36,1
4-4-3,IDXN-1352,ICT 생산통계,https://www.index.go.kr/unify/idx-info.do?idxCd=1352,context,33,2
4-4-3,IDXN-1604,청소년 가출실태,https://www.index.go.kr/unify/idx-info.do?idxCd=1604,context,33,3
4-4-3,IDXN-2782,ICT 수출입 동향,https://www.index.go.kr/unify/idx-info.do?idxCd=2782,context,33,4
4-4-3,IDXN-2774,청소년 상담사/지도사 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2774,context,31,5
4-6-2,IDXN-2718,자원봉사 참여(성인),https://www.index.go.kr/unify/idx-info.do?idxCd=2718,context,26,1
4-9-1,IDXN-1525,GDP 대비 공교육비 비율,https://www.index.go.kr/unify/idx-info.do?idxCd=1525,near,58,1
4-9-1,IDXN-1523,학생 1인당 공교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=1523,context,33,2
4-9-1,IDXN-4243,학생 1인당 공교육비,https://www.index.go.kr/unify/idx-info.do?idxCd=4243,context,33,3
5-3-1,IDXN-3037,맞벌이가구 비율,https://www.index.go.kr/unify/idx-info.do?idxCd=3037,context,36,1
5-6-1,IDXN-3061,스마트폰 과의존 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=3061,near,55,1
5-6-1,IDXN-1345,가구 인터넷 보급률 및 컴퓨터 보유율,https://www.index.go.kr/unify/idx-info.do?idxCd=1345,context,26,2
6-1-1,IDXN-4274,삶의 만족도,https://www.index.go.kr/unify/idx-info.do?idxCd=4274,near,56,1
6-1-2,IDXN-1481,하수도 보급률 변화추이,https://www.index.go.kr/unify/idx-info.do?idxCd=1481,context,26,1
6-2-1,IDXN-1481,하수도 보급률 변화추이,https://www.index.go.kr/unify/idx-info.do?idxCd=1481,exact,61,1
6-2-1,IDXN-1345,가구 인터넷 보급률 및 컴퓨터 보유율,https://www.index.go.kr/unify/idx-info.do?idxCd=1345,context,27,2
6-2-1,IDXN-1297,농촌지역 생활인프라 보급률,https://www.index.go.kr/unify/idx-info.do?idxCd=1297,context,26,3
6-4-1,IDXN-1480,상수도 급수현황(보급 및 급수량),https://www.index.go.kr/unify/idx-info.do?idxCd=1480,context,33,1
7-2-2,IDXN-2781,에너지 수급현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2781,context,29,1
7-4-2,IDXN-2781,에너지 수급현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2781,context,30,1
8-1-1,IDXN-1317,수산물 소비량(연간 1인당)과 자급률,https://www.index.go.kr/unify/idx-info.do?idxCd=1317,context,36,1
8-1-1,IDXN-1521,교원 1인당 학생 수,https://www.index.go.kr/unify/idx-info.do?idxCd=1521,context,32,2
8-1-1,IDXN-1525,GDP 대비 공교육비 비율,https://www.index.go.kr/unify/idx-info.do?idxCd=1525,context,30,3
8-1-1,IDXN-4257,1인당 주거면적,https://www.index.go.kr/unify/idx-info.do?idxCd=4257,context,30,4
8-1-1,IDXN-4287,1인당 물사용량,https://www.index.go.kr/unify/idx-info.do?idxCd=4287,context,30,5
8-2-2,IDXN-2477,비정규직 고용동향,https://www.index.go.kr/unify/idx-info.do?idxCd=2477,near,55,1
8-3-1,IDXN-2778,혁신형 중소기업 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2778,near,47,1
8-3-1,IDXN-1181,중소기업 일반현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1181,near,43,2
8-3-1,IDXN-2780,중소기업 금융지원 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2780,near,43,3
8-3-1,IDXN-1063,취업자 수/실업률 추이,https://www.index.go.kr/unify/idx-info.do?idxCd=1063,context,33,4
8-3-2,IDXN-1182,창업기업 동향,https://www.index.go.kr/unify/idx-info.do?idxCd=1182,exact,85,1
9-1-1,IDXN-1481,하수도 보급률 변화추이,https://www.index.go.kr/unify/idx-info.do?idxCd=1481,near,39,1
9-1-1,IDXN-1345,가구 인터넷 보급률 및 컴퓨터 보유율,https://www.index.go.kr/unify/idx-info.do?idxCd=1345,context,33,2
9-1-1,IDXN-1297,농촌지역 생활인프라 보급률,https://www.index.go.kr/unify/idx-info.do?idxCd=1297,context,32,3
9-4-1,IDXN-1325,총 연구개발비,https://www.index.go.kr/unify/idx-info.do?idxCd=1325,exact,81,1
9-4-1,IDXN-1326,기관별 연구개발비,https://www.index.go.kr/unify/idx-info.do?idxCd=1326,exact,68,2
9-4-1,IDXN-1329,지역별 연구개발비,https://www.index.go.kr/unify/idx-info.do?idxCd=1329,exact,68,3
9-4-1,IDXN-1328,민간기업 연구개발비 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1328,exact,63,4
9-4-1,IDXN-1327,연구개발 단계별 연구개발비,https://www.index.go.kr/unify/idx-info.do?idxCd=1327,near,55,5
9-5-1,IDXN-1316,어업 생산액 및 GDP 대비 부가가치 비중,https://www.index.go.kr/unify/idx-info.do?idxCd=1316,context,30,1
